word,num_syll
Отравлен,3
хлеб,1
и,1
воздух,2
выпит,2
Как,1
трудно,2
раны,2
врачевать,3
Иосиф,3
проданный,3
в,0
Египет,3
Не,1
мог,1
сильнее,3
тосковать,3
Под,1
звездным,2
небом,2
бедуины,4
Закрыв,2
глаза,2
на,1
коне,2
Слагают,3
вольные,3
былины,3
О,1
смутно,2
пережитом,4
дне,1
Немного,3
нужно,2
для,1
наитий,3
Кто,1
потерял,3
песке,2
колчан,2
выменял,3
коня,2
событий,3
Рассеивается,6
туман,2
если,2
подлинно,3
поется,3
полной,2
грудью,2
наконец,3
Все,1
исчезает,4
остается,4
Пространство,3
звезды,2
певец,2
Образ,2
твой,1
мучительный,4
зыбкий,2
Я,1
тумане,3
осязать,3
Господи,3
сказал,2
по,1
ошибке,3
Сам,1
того,2
думая,3
сказать,2
Божье,2
имя,2
большая,3
птица,2
Вылетело,4
из,1
моей,2
груди,2
Впереди,3
густой,2
клубится,3
пустая,3
клетка,2
позади,3
Слух,1
чуткий,2
парус,2
напрягает,4
Расширенный,4
пустеет,3
взор,1
тишину,3
переплывает,5
Полночных,3
птиц,1
незвучный,3
хор,1
так,1
же,1
беден,2
природа,3
прост,1
небеса,3
призрачна,3
моя,2
свобода,3
голоса,3
вижу,2
месяц,2
бездыханный,4
небо,2
мертвенней,3
холста,2
мир,1
болезненный,4
странный,2
принимаю,4
пустота,3
временах,3
простых,2
грубых,2
Копыта,3
конские,3
твердят,2
дворники,3
тяжелых,3
шубах,2
деревянных,4
лавках,2
спят,1
стук,1
железные,4
ворота,3
Привратник,3
царственно,3
ленив,2
Встал,1
звериная,4
зевота,3
Напомнила,4
скиф,1
Когда,2
с,0
дряхлеющей,4
любовью,3
Мешая,3
песнях,2
Рим,1
снег,1
Овидий,3
пел,1
арбу,2
воловью,3
походе,3
варварских,3
телег,2
Кинематограф,5
Три,1
скамейки,3
Сантиментальная,6
горячка,3
Аристократка,5
богачка,3
сетях,2
соперницызлодейки,7
удержать,3
любви,2
полета,3
Она,2
ни,1
чем,1
виновата,4
Самоотверженно,6
брата,2
Любила,3
лейтенанта,4
флота,2
А,1
он,1
скитается,4
пустыне,3
Седого,3
графа,2
сын,1
побочный,3
начинается,5
лубочный,3
Роман,2
красавицыграфини,7
исступленье,4
гитана,3
заламывает,5
руки,2
Разлука,3
Бешеные,4
звуки,2
Затравленного,5
фортепьяно,4
доверчивой,4
слабой,2
Еще,2
достаточно,4
отваги,3
Похитить,3
важные,3
бумаги,3
неприятельского,6
штаба,2
каштановой,4
аллее,3
Чудовищный,4
мотор,2
несется,3
Стрекочет,3
лента,2
сердце,2
бьется,2
Тревожнее,4
веселее,4
дорожном,3
платье,2
саквояжем,4
автомобиле,5
вагоне,3
боится,3
лишь,1
погони,3
Сухим,2
измучена,4
миражем,3
Какая,3
горькая,3
нелепость,3
Цель,1
оправдывает,5
средства,2
Ему,2
отцовское,4
наследство,3
ей,1
пожизненная,5
крепость,2
таверне,3
воровская,4
шайка,2
Всю,1
ночь,1
играла,3
домино,3
Пришла,2
яичницей,4
хозяйка,3
Монахи,3
выпили,3
вино,2
башне,2
спорили,3
химеры,3
Которая,4
них,1
урод,2
утром,2
проповедник,4
серый,2
палатки,3
призывал,3
народ,2
рынке,2
возятся,3
собаки,3
Менялы,3
щелкает,3
замок,2
У,1
вечности,3
ворует,3
всякий,2
вечность,2
морской,2
песок,2
осыпается,5
телеги,3
хватит,2
мешки,2
рогож,2
недовольный,4
ночлеге,3
Монах,2
рассказывает,5
ложь,1
поныне,3
Афоне,3
Древо,2
чудное,3
растет,2
крутом,2
зеленом,3
склоне,2
Божие,3
поет,2
каждой,2
радуются,4
келье,2
Имябожцымужики,7
Слово,2
чистое,3
веселье,3
Исцеленье,4
от,1
тоски,2
Всенародно,4
громогласно,4
Чернецы,3
осуждены,4
Но,1
ереси,3
прекрасной,3
Мы,1
спасаться,3
должны,2
Каждый,2
раз,1
любим,2
нее,2
впадаем,3
вновь,1
Безымянную,5
губим,2
Вместе,2
именем,3
любовь,2
увижу,3
знаменитой,4
Федры,2
старинном,3
многоярусном,5
театре,3
прокопченной,4
высокой,3
галереи,4
При,1
свете,2
оплывающих,5
свечей,2
равнодушен,4
