Слово,Гласные,Кол-во слогов,Часть речи,Начальная форма,Слогов до,Ударный слог,Слогов после
word,,0,1,1,1,1,1
Отравлен,оае,3,1,1,1,1,1
хлеб,е,1,1,1,1,1,1
и,и,1,1,1,1,1,1
воздух,оу,2,1,1,1,1,1
выпит,ыи,2,1,1,1,1,1
Как,а,1,1,1,1,1,1
трудно,уо,2,1,1,1,1,1
раны,аы,2,1,1,1,1,1
врачевать,аеа,3,1,1,1,1,1
Иосиф,иои,3,1,1,1,1,1
проданный,оаы,3,1,1,1,1,1
в,,0,1,1,1,1,1
Египет,еие,3,1,1,1,1,1
Не,е,1,1,1,1,1,1
мог,о,1,1,1,1,1,1
сильнее,иее,3,1,1,1,1,1
тосковать,ооа,3,1,1,1,1,1
Под,о,1,1,1,1,1,1
звездным,еы,2,1,1,1,1,1
небом,ео,2,1,1,1,1,1
бедуины,еуиы,4,1,1,1,1,1
Закрыв,аы,2,1,1,1,1,1
глаза,аа,2,1,1,1,1,1
на,а,1,1,1,1,1,1
коне,ое,2,1,1,1,1,1
Слагают,ааю,3,1,1,1,1,1
вольные,оые,3,1,1,1,1,1
былины,ыиы,3,1,1,1,1,1
О,о,1,1,1,1,1,1
смутно,уо,2,1,1,1,1,1
пережитом,ееио,4,1,1,1,1,1
дне,е,1,1,1,1,1,1
Немного,еоо,3,1,1,1,1,1
нужно,уо,2,1,1,1,1,1
для,я,1,1,1,1,1,1
наитий,аии,3,1,1,1,1,1
Кто,о,1,1,1,1,1,1
потерял,оея,3,1,1,1,1,1
песке,ее,2,1,1,1,1,1
колчан,оа,2,1,1,1,1,1
выменял,ыея,3,1,1,1,1,1
коня,оя,2,1,1,1,1,1
событий,оыи,3,1,1,1,1,1
Рассеивается,аеиаея,6,1,1,1,1,1
туман,уа,2,1,1,1,1,1
если,еи,2,1,1,1,1,1
подлинно,оио,3,1,1,1,1,1
поется,оея,3,1,1,1,1,1
полной,оо,2,1,1,1,1,1
грудью,ую,2,1,1,1,1,1
наконец,аое,3,1,1,1,1,1
Все,е,1,1,1,1,1,1
исчезает,иеае,4,1,1,1,1,1
остается,оаея,4,1,1,1,1,1
Пространство,оао,3,1,1,1,1,1
звезды,еы,2,1,1,1,1,1
певец,ее,2,1,1,1,1,1
Образ,оа,2,1,1,1,1,1
твой,о,1,1,1,1,1,1
мучительный,уиеы,4,1,1,1,1,1
зыбкий,ыи,2,1,1,1,1,1
Я,я,1,1,1,1,1,1
тумане,уае,3,1,1,1,1,1
осязать,ояа,3,1,1,1,1,1
Господи,оои,3,1,1,1,1,1
сказал,аа,2,1,1,1,1,1
по,о,1,1,1,1,1,1
ошибке,оие,3,1,1,1,1,1
Сам,а,1,1,1,1,1,1
того,оо,2,1,1,1,1,1
думая,уая,3,1,1,1,1,1
сказать,аа,2,1,1,1,1,1
Божье,ое,2,1,1,1,1,1
имя,ия,2,1,1,1,1,1
большая,оая,3,1,1,1,1,1
птица,иа,2,1,1,1,1,1
Вылетело,ыеео,4,1,1,1,1,1
из,и,1,1,1,1,1,1
моей,ое,2,1,1,1,1,1
груди,уи,2,1,1,1,1,1
Впереди,ееи,3,1,1,1,1,1
густой,уо,2,1,1,1,1,1
клубится,уия,3,1,1,1,1,1
пустая,уая,3,1,1,1,1,1
клетка,еа,2,1,1,1,1,1
позади,оаи,3,1,1,1,1,1
Слух,у,1,1,1,1,1,1
чуткий,уи,2,1,1,1,1,1
парус,ау,2,1,1,1,1,1
напрягает,аяае,4,1,1,1,1,1
Расширенный,аиеы,4,1,1,1,1,1
пустеет,уее,3,1,1,1,1,1
взор,о,1,1,1,1,1,1
тишину,ииу,3,1,1,1,1,1
переплывает,ееыае,5,1,1,1,1,1
Полночных,ооы,3,1,1,1,1,1
птиц,и,1,1,1,1,1,1
незвучный,еуы,3,1,1,1,1,1
хор,о,1,1,1,1,1,1
так,а,1,1,1,1,1,1
же,е,1,1,1,1,1,1
беден,ее,2,1,1,1,1,1
природа,иоа,3,1,1,1,1,1
прост,о,1,1,1,1,1,1
небеса,ееа,3,1,1,1,1,1
призрачна,иаа,3,1,1,1,1,1
моя,оя,2,1,1,1,1,1
свобода,ооа,3,1,1,1,1,1
голоса,ооа,3,1,1,1,1,1
вижу,иу,2,1,1,1,1,1
месяц,ея,2,1,1,1,1,1
бездыханный,еыаы,4,1,1,1,1,1
небо,ео,2,1,1,1,1,1
мертвенней,еее,3,1,1,1,1,1
холста,оа,2,1,1,1,1,1
мир,и,1,1,1,1,1,1
болезненный,оееы,4,1,1,1,1,1
странный,аы,2,1,1,1,1,1
принимаю,ииаю,4,1,1,1,1,1
пустота,уоа,3,1,1,1,1,1
временах,ееа,3,1,1,1,1,1
простых,оы,2,1,1,1,1,1
грубых,уы,2,1,1,1,1,1
Копыта,оыа,3,1,1,1,1,1
конские,оие,3,1,1,1,1,1
твердят,ея,2,1,1,1,1,1
дворники,оии,3,1,1,1,1,1
тяжелых,яеы,3,1,1,1,1,1
шубах,уа,2,1,1,1,1,1
деревянных,ееяы,4,1,1,1,1,1
лавках,аа,2,1,1,1,1,1
спят,я,1,1,1,1,1,1
стук,у,1,1,1,1,1,1
железные,ееые,4,1,1,1,1,1
ворота,ооа,3,1,1,1,1,1
Привратник,иаи,3,1,1,1,1,1
царственно,аео,3,1,1,1,1,1
ленив,еи,2,1,1,1,1,1
Встал,а,1,1,1,1,1,1
звериная,еиая,4,1,1,1,1,1
зевота,еоа,3,1,1,1,1,1
Напомнила,аоиа,4,1,1,1,1,1
скиф,и,1,1,1,1,1,1
Когда,оа,2,1,1,1,1,1
с,,0,1,1,1,1,1
дряхлеющей,яеюе,4,1,1,1,1,1
любовью,юою,3,1,1,1,1,1
Мешая,еая,3,1,1,1,1,1
песнях,ея,2,1,1,1,1,1
Рим,и,1,1,1,1,1,1
снег,е,1,1,1,1,1,1
Овидий,оии,3,1,1,1,1,1
пел,е,1,1,1,1,1,1
арбу,ау,2,1,1,1,1,1
воловью,оою,3,1,1,1,1,1
походе,оое,3,1,1,1,1,1
